ID,TARGET,units
2024-07-01_B09KDR64LT,0,8.260013088
2024-07-01_B09KDTS4DC,0,9.312055817
2024-07-01_B09KDTHJ6V,0,11.00632521
2024-07-01_B09KDQ2BWY,0,12.39736786
2024-07-01_B09KDYY3SB,0,13.63012903
2024-07-01_B09KDNYCYR,0,14.71056079
2024-07-01_B09KDN7PYR,0,15.65897169
2024-07-01_B09KDLQ2GW,0,16.49130864
2024-07-01_B0BDRTZTGX,0,17.22180071
2024-07-01_B09KDVXTP4,0,17.86290678
2024-07-01_B09KDPXYG3,0,18.42556485
2024-07-01_B09KDW1YKQ,0,18.91937405
2024-07-01_B09MR36MLJ,0,19.35275898
2024-07-01_B09KDZQJ6P,0,19.73311337
2024-07-01_B09MR3Y296,0,20.06692623
2024-07-01_B09KSXP3HN,0,20.35989255
2024-07-01_B09KT5HMNY,0,20.61701045
2024-07-01_B09KTF8ZDQ,0,20.84266648
2024-07-01_B09KTFXX6L,0,21.04071043
2024-07-01_B09KTJRHC7,0,21.214521
2024-07-01_B09KTMKDKJ,0,21.36706349
2024-07-01_B09KTMLQ1N,0,21.50094033
2024-07-01_B09MR2FY5D,0,21.61843552
2024-07-01_B09MR2MLZH,0,21.72155358
2024-07-01_B09MR4B13C,0,21.81205374
2024-07-01_B09KDXJJ6W,0,21.89147997
2024-07-01_B09KSYL73R,0,69.407541
2024-07-01_B0B31VFJ6Q,0,62.06852695
2024-07-01_B09MR4G722,0,103.1489586
2024-07-01_B09MR3RSW8,0,148.8660555
2024-07-01_B0B31SM3ZR,0,181.4084726
2024-07-01_B0B31R1ZBV,0,169.6614147
2024-07-01_B09X1JTK49,0,139.8850097
2024-07-01_B09X1HV1NL,0,140.3443349
2024-07-01_B09X1H629F,0,162.5007348
2024-07-01_B09X1F1L26,0,195.2233261
2024-07-01_B09X1F8C23,0,212.661283
2024-07-01_B09X1DHRLN,0,197.4984457
2024-07-01_B09MR5WS3Y,0,181.2153976
2024-07-01_B09MR56Q9N,0,180.2749508
2024-07-01_B0B31T1XMH,0,195.141805
2024-07-01_B09MR4Z3H8,0,218.6290938
2024-07-01_B09MR4Z3H9,0,224.4143453
2024-07-01_B0B31V3PKG,0,213.5118826
2024-07-01_B0B31VTH56,0,203.4246553
2024-07-01_B0B31Y1FDZ,0,201.5174676
2024-07-01_B0B699PLXD,0,214.0668211
2024-07-01_B0B69B8R3C,0,228.219761
2024-07-01_B0B69C4GST,0,1.037626422
2024-07-01_B0B69DD2C7,0,1.037626422
2024-07-01_B0B69DK8JN,0,1.037626422
2024-07-01_B0B69FBGN1,0,1.037626422
2024-07-01_B0B69G3YRM,0,1.037626422
2024-07-01_B0B69GN5KJ,0,1.037626422
2024-07-01_B0B69SF1BT,0,1.037626422
2024-07-01_B0BDRQWBK9,0,1.037626422
2024-07-01_B09MR3XT5G,0,1.037626422
2024-07-01_B09X1FWK8Z,0,1.037626422
2024-07-01_B0CY5QQ49F,0,1.037626422
2024-07-01_B0BNKZYHRX,0,1.037626422
2024-07-01_B0BRCXJ1F6,0,1.037626422
2024-07-01_B0BGDWGRQB,0,1.037626422
2024-07-01_B0BGDX2Z3L,0,1.037626422
2024-07-01_B0BGDXM13S,0,1.037626422
2024-07-01_B0BGDXV7FD,0,1.037626422
2024-07-01_B0BGDZLDX2,0,1.037626422
2024-07-01_B0BNKXC5H1,0,1.037626422
2024-07-01_B0BNKY8RQN,0,1.037626422
2024-07-01_B0BNKYZD2Z,0,1.037626422
2024-07-01_B0BNKZ88Z5,0,1.037626422
2024-07-01_B0BNKZCWFL,0,1.037626422
2024-07-01_B0BRCXJRX6,0,1.037626422
2024-07-01_B0BG2Z8CY4,0,1.037626422
2024-07-01_B0BNL5BKMK,0,1.037626422
2024-07-01_B0BNL1CG6X,0,1.103061454
2024-07-01_B0BRCXCXCV,0,1.000514318
2024-07-01_B0BRCW79VK,0,0.59886795
2024-07-01_B0BRCW2B64,0,0.676120005
2024-07-01_B0BNL7TJRT,0,1.082972815
2024-07-01_B0BRCXDHBX,0,1.270700797
2024-07-01_B0BNL4S6MB,0,1.026333646
2024-07-01_B0BNL3YY1C,0,0.704818722
2024-07-01_B0BNL3J36Z,0,0.719923354
2024-07-01_B0BNL4L4K5,0,1.016129296
2024-07-01_B0BDRS6R5Z,0,1.189484
2024-07-01_B0BNL11QD8,0,1.034709757
2024-07-01_B0BSLTZV4Z,0,0.782518749
2024-07-01_B0BNKZ9BJR,0,0.761461681
2024-07-01_B0BG2T78CJ,0,0.973046995
2024-07-01_B0BRCXQMS5,0,1.125273468
2024-07-01_B0C9JLKFPZ,0,1.032625329
2024-07-01_B0BRCXQRC9,0,0.838457457
2024-07-01_B0BRCXXBG2,0,0.79860188
2024-07-01_B0BRCY8QMH,0,0.946594215
2024-07-01_B0BRCYJ33N,0,1.075473091
2024-07-01_B0BRCYJ4SR,0,1.024801928
2024-07-01_B0BRCYK4JK,0,0.877927653
2024-07-01_B0BRCYQNSW,0,0.830472233
2024-07-01_B0BRCYV77T,0,0.931501812
2024-07-01_B0BRDCBGFD,0,1.037536784
2024-07-01_B0BRDCJWJC,0,109.6494163
2024-07-01_B0BSLTV9FL,0,227.4981505
2024-07-01_B0BSLWJKSX,0,122.3249537
2024-07-01_B0BG2PD396,0,69.30306718
2024-07-01_B0CY5LR4VX,0,36.9585856
2024-07-01_B0CFV6V981,0,57.8064548
2024-07-01_B0CY5KFQBD,0,90.87244516
2024-07-01_B0CR4C98FS,0,89.42791259
2024-07-01_B0CR4C5WXS,0,60.79276243
2024-07-01_B0CR4BGLK5,0,45.02466561
2024-07-01_B0CR4BK4FW,0,57.34907563
2024-07-01_B0CR49NR3B,0,74.5969059
2024-07-01_B0CR49N6MQ,0,72.80322354
2024-07-01_B0CR49BQRS,0,57.39653723
2024-07-01_B0CQVLFPBQ,0,49.79730426
2024-07-01_B0BRCXP7VN,0,56.97350867
2024-07-01_B0CR4BG4ZW,0,65.92354036
2024-07-02_B09KDTHJ6V,0,64.42476936
2024-07-02_B09KDW1YKQ,0,56.16623227
2024-07-02_B09KDVXTP4,0,52.55460157
2024-07-02_B09KDTS4DC,0,56.68156498
2024-07-02_B09KDR64LT,0,61.30071794
2024-07-02_B09KDZQJ6P,0,60.21556554
2024-07-02_B09KDPXYG3,0,55.80503918
2024-07-02_B09KDNYCYR,0,54.11818888
2024-07-02_B09KDN7PYR,0,56.46688895
2024-07-02_B0BDRTZTGX,0,58.83730624
2024-07-02_B09KDXJJ6W,0,58.10863453
2024-07-02_B09KDQ2BWY,0,0.703056071
2024-07-02_B09KDYY3SB,0,0.758908589
2024-07-02_B09KTJRHC7,0,0.758908589
2024-07-02_B09MR3Y296,0,0.758908589
2024-07-02_B09KSYL73R,0,0.758908589
2024-07-02_B09KT5HMNY,0,0.758908589
2024-07-02_B09KTF8ZDQ,0,0.758908589
2024-07-02_B09KTFXX6L,0,0.758908589
2024-07-02_B09KTMKDKJ,0,0.758908589
2024-07-02_B09KTMLQ1N,0,0.758908589
2024-07-02_B09MR2FY5D,0,0.758908589
2024-07-02_B09MR2MLZH,0,0.758908589
2024-07-02_B09MR36MLJ,0,0.758908589
2024-07-02_B09MR3RSW8,0,0.758908589
2024-07-02_B09MR3XT5G,0,0.758908589
2024-07-02_B09KSXP3HN,0,0.758908589
2024-07-02_B09MR4B13C,0,0.758908589
2024-07-02_B09X1F8C23,0,0.758908589
2024-07-02_B09MR4Z3H8,0,0.758908589
2024-07-02_B0B31R1ZBV,0,0.758908589
2024-07-02_B09X1JTK49,0,0.758908589
2024-07-02_B09X1HV1NL,0,0.758908589
2024-07-02_B09X1H629F,0,0.758908589
2024-07-02_B09X1FWK8Z,0,0.393969755
2024-07-02_B09X1DHRLN,0,0.393969755
2024-07-02_B09X1F1L26,0,0.393969755
2024-07-02_B09MR5WS3Y,0,0.393969755
2024-07-02_B09MR56Q9N,0,0.393969755
2024-07-02_B09MR4Z3H9,0,0.393969755
2024-07-02_B0B31T1XMH,0,0.393969755
2024-07-02_B0B31SM3ZR,0,0.393969755
2024-07-02_B09KDLQ2GW,0,0.393969755
2024-07-02_B0B69SF1BT,0,0.393969755
2024-07-02_B0B31VFJ6Q,0,0.393969755
2024-07-02_B0B31VTH56,0,0.393969755
2024-07-02_B0B31Y1FDZ,0,0.393969755
2024-07-02_B0B699PLXD,0,0.393969755
2024-07-02_B0B69B8R3C,0,0.393969755
2024-07-02_B0B69C4GST,0,0.393969755
2024-07-02_B0B69DD2C7,0,0.393969755
2024-07-02_B0B69DK8JN,0,0.393969755
2024-07-02_B0B69FBGN1,0,0.393969755
2024-07-02_B0B69G3YRM,0,0.393969755
